Time,Src Address,Src Type,Src Port,Src Name,Dst Address,Dst Type,Dst Port,Dst Name,Bytes,Packets,Action,undefined
2023-11-02T21:12:48Z,10.218.193.119,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.199.152.155,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.210.154.112,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.207.67.143,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.161.6.36,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.200.19.111,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.205.210.182,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.74.68.102,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.152.199,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.180.38,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.152.161,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.205.131.134,UnknownInternal,123,,76,1,ACCEPT,
